Compiling for 128 parallel environments...
Compilation time: 1.0869s
Running benchmark (1 samples)...

Results saved to: times.json
Collecting data...
Generating '/tmp/nsys-report-7638.qdstrm'

[1/8] [0%                          ] octax_nsys.nsys-rep
[1/8] [========================100%] octax_nsys.nsys-rep

[2/8] [0%                          ] octax_nsys.sqlite
[2/8] [========================100%] octax_nsys.sqlite
[3/8] Executing 'nvtx_sum' stats report

 Time (%)  Total Time (ns)  Instances     Avg (ns)         Med (ns)        Min (ns)       Max (ns)     StdDev (ns)    Style                                                  Range                                                
      0,0        2 736 779          1      2 736 779,0      2 736 779,0      2 736 779      2 736 779           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_iota,program_id=7#                                                    
      0,0        2 736 115          2      1 368 057,0      1 368 057,0      1 354 745      1 381 370      18 826,0  PushPop  TSL:XlaPass:#name=float_normalization,module=jit_rollout,program_id=87#                             
      0,0        2 729 939          2      1 364 969,0      1 364 969,0      1 351 952      1 377 987      18 409,0  PushPop  TSL:XlaPassPipeline:#name=float_normalization,module=jit_rollout,program_id=87#                     
      0,0        2 726 148          1      2 726 148,0      2 726 148,0      2 726 148      2 726 148           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_subtract,program_id=59#                                               
      0,0        2 715 557          1      2 715 557,0      2 715 557,0      2 715 557      2 715 557           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_convert_element_type,program_id=23#                                   
      0,0        2 698 638          1      2 698 638,0      2 698 638,0      2 698 638      2 698 638           0,0  PushPop  TSL:XlaPassPipeline:#name=layout normalization,module=jit_rollout,program_id=87#                    
      0,0        2 689 841          1      2 689 841,0      2 689 841,0      2 689 841      2 689 841           0,0  PushPop  TSL:XlaPassPipeline:#name=collective-optimizations,module=jit_rollout,program_id=87#                
      0,0        2 688 984          1      2 688 984,0      2 688 984,0      2 688 984      2 688 984           0,0  PushPop  TSL:XlaEmitLlvmIr:#module=jit_iota,program_id=9#                                                    
      0,0        2 475 962          2      1 237 981,0      1 237 981,0      1 087 740      1 388 222     212 472,0  PushPop  TSL:XlaEmitGpuAsm:#module=jit_scatter#                                                              
      0,0        2 231 551          1      2 231 551,0      2 231 551,0      2 231 551      2 231 551           0,0  PushPop  TSL:XlaEmitGpuAsm:#module=jit__threefry_split#                                                      
      0,0        2 163 231          1      2 163 231,0      2 163 231,0      2 163 231      2 163 231           0,0  PushPop  TSL:XlaBufferAssignment:#module=jit_rollout,program_id=87#                                          
      0,0        1 939 048          2        969 524,0        969 524,0        966 829        972 219       3 811,0  PushPop  TSL:XlaOptimizeLlvmIr:#module=jit_iota#                                                             
      0,0        1 848 583          2        924 291,0        924 291,0        918 473        930 110       8 228,0  PushPop  TSL:XlaOptimizeLlvmIr:#module=jit_convert_element_type#                                             
      0,0        1 785 102          1      1 785 102,0      1 785 102,0      1 785 102      1 785 102           0,0  PushPop  TSL:XlaPass:#name=gemm-fusion-autotuner,module=jit_rollout,program_id=87#                           
      0,0        1 630 199          1      1 630 199,0      1 630 199,0      1 630 199      1 630 199           0,0  PushPop  TSL:XlaPass:#name=loop-schedule-linearizer,module=jit_rollout,program_id=87#                        
      0,0        1 627 437          2        813 718,0        813 718,0        806 131        821 306      10 730,0  PushPop  TSL:XlaCompile:#module=jit__squeeze#                                                                
      0,0        1 563 858          1      1 563 858,0      1 563 858,0      1 563 858      1 563 858           0,0  PushPop  TSL:XlaPassPipeline:#name=post-layout_assignment,module=jit__threefry_split,program_id=63#          
      0,0        1 562 417         18         86 800,0         86 031,0         33 240        127 054      18 313,0  PushPop  TSL:XlaCreateGpuExecutable:#module=jit_broadcast_in_dim#                                            
      0,0        1 472 707         18         81 817,0         10 549,0          7 611      1 213 125     282 637,0  PushPop  TSL:XlaPass:#name=dce,module=jit_rollout,program_id=87#                                             
      0,0        1 434 498          4        358 624,0        357 754,0        351 650        367 340       7 477,0  PushPop  TSL:XlaPass:#name=cublas-gemm-rewriter,module=jit__threefry_split,program_id=63#                    
      0,0        1 416 323          1      1 416 323,0      1 416 323,0      1 416 323      1 416 323           0,0  PushPop  TSL:XlaOptimizeLlvmIr:#module=jit_floor_divide#                                                     
      0,0        1 405 233          1      1 405 233,0      1 405 233,0      1 405 233      1 405 233           0,0  PushPop  TSL:XlaOptimizeLlvmIr:#module=jit_reset#                                                            
      0,0        1 377 631          1      1 377 631,0      1 377 631,0      1 377 631      1 377 631           0,0  PushPop  TSL:XlaEmitGpuAsm:#module=jit_reset#                                                                
      0,0        1 337 130          2        668 565,0        668 565,0        660 931        676 199      10 796,0  PushPop  TSL:XlaEmitGpuAsm:#module=jit_iota#                                                                 
      0,0        1 334 295          1      1 334 295,0      1 334 295,0      1 334 295      1 334 295           0,0  PushPop  TSL:XlaPassPipeline:#name=fusion,module=jit_convert_element_type,program_id=1#                      
      0,0        1 318 576          1      1 318 576,0      1 318 576,0      1 318 576      1 318 576           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_convert_element_type,program_id=1#                     
      0,0        1 310 279          1      1 310 279,0      1 310 279,0      1 310 279      1 310 279           0,0  PushPop  TSL:XlaPass:#name=all-reduce-simplifier,module=jit_rollout,program_id=87#                           
      0,0        1 288 546          1      1 288 546,0      1 288 546,0      1 288 546      1 288 546           0,0  PushPop  TSL:XlaOptimizeLlvmIr:#module=jit_remainder#                                                        
      0,0        1 201 488          2        600 744,0        600 744,0        595 484        606 004       7 438,0  PushPop  TSL:XlaEmitGpuAsm:#module=jit_convert_element_type#                                                 
      0,0        1 187 777          1      1 187 777,0      1 187 777,0      1 187 777      1 187 777           0,0  PushPop  TSL:XlaPass:#name=host-offloader,module=jit_rollout,program_id=87#                                  
      0,0        1 122 136          3        374 045,0        135 292,0        132 273        854 571     416 150,0  PushPop  TSL:XlaPass:#name=layout_normalization,module=jit_rollout,program_id=87#                            
      0,0        1 120 724          1      1 120 724,0      1 120 724,0      1 120 724      1 120 724           0,0  PushPop  TSL:XlaPassPipeline:#name=fusion,module=jit_scatter,program_id=41#                                  
